ID%artist%artistmatch
1%4 Non Blondes%(4|four) non( |-)blonde?s
2%A-ha%a-?ha
3%AC/DC%ac[/ -]?dc
4%Adele%adele
162%Ray Charles%ray charles
163%REO Speedwagon%reo speedwagon
164%Richard Harris%richard harris
165%Rick Astley%ric?k astle?y
166%Rosé and Bruno Mars%ros[eé] (and|&|n) bruno mars
167%Rose Royce%rose royce
168%Run DMC%run dmc
169%Sade%sade( abo?u)?
170%Salt-n-Pepa%salt-n-pepa
171%Santana%(carlos )?santana
172%Sheryl Crow%[sc]heryl crow
173%Sia%sia
174%Simon & Garfunkel%simon (&|and) garfunkel
175%Snow Patrol%snow patrol
176%Soundgarden%sound ?garden
177%Stan Goetz, João Gilberto, Astrud Gilberto%stan go?etz, jo[ãa]o gilberto, astrud gilberto
178%Stevie Wonder%stevie wonder
179%Suzanne Vega%suzanne vega
180%Taio Cruz and Ludacris%taio cruz and ludacris
181%Taylor Dayne%taylor dayne
182%Taylor Swift%taylor swift
183%The Animals%(the )?animals
184%The Backstreet Boys%(the )?backstreet boy[sz]
185%The Bangles%(the )?bangles
186%The Beatles%(the )?beatles
187%The BeeGees%(the )?bee( |-)?gees
188%The Black Crowes%(the )?black crowe?s
189%The Black Eyed Peas%(the )?black[- ]eyed peas
190%The Black Keys%(the )?black keys
191%The Box Tops%(the )?box tops
192%The Cars%(the )?cars
193%The Chi-Lites%(the )?chi-lites
194%The Chordettes%(the )?ch?ordette?s
195%The Clash%(the )?clash
196%The Commodores%(the )?comm?odore?s
197%The Cranberries%(the )?cranberr?ies
198%The Cure%(the )?cure
199%The Darkness%(the )?darkness
200%The Doobie Brothers%(the )?doobie brothers
201%The Eagles%(the )?eagles
202%the Eurythmics%(the )?eurythmics
203%The Everly Brothers%(the )?everl(y|ie) brothers
204%The Go-Go’s%(the )?go-?go[’']?s
205%The Greatest Showman%(the )?greatest showman
206%The Hollies%(the )?hollies
207%The Killers%(the )?killers
208%The Knack%(the )?knack
209%The Lovin’ Spoonful%(the )?lovin[’'g]? spoonful
210%The Monkees%(the )?monk(ie|ee|ey)[sz]
211%The Moody Blues%(the )?moody blues
212%The Muppet Movie%((the )?muppet movie)|(kermit( the frog)?)
213%The Music Man%(the )?music man
214%The Police%(the )?police
215%The Red Hot Chili Peppers%(the )?red hot chill?i peppers
216%The Rolling Stones%(the )?rolling stones
217%The Smiths%(the )?smiths
218%The Spice Girls%(the )?spice ?girls
219%The Temptations%(the )?temptations
220%The Weeknd%the week(e)?nd
221%They Might Be Giants%they might be giants
222%Tina Turner%tina turner
223%Tom Petty%tom petty
224%Tony Bennett%tony bennett
225%Toni Braxton%toni braxton
226%TOTO%toto
227%Tracy Chapman%tracy chapman
228%Train%train
229%U2%u2
230%Us3%us ?(3|three)
231%Usher%usher
232%Van Morrison%van morr?ison
233%Weird Al%weird al
234%Whitney Houston%whitney houston
235%Will Smith%will smith
236%Yes%yes
