date|lyric|genre|decade|title|artist
1/1/2024|We've known each other for so long|Pop|1980|Never Gonna Give You Up|Rick Astley
2/1/2024|Is this the real life, is this just fantasy?|Rock|1970|Bohemian Rhapsody|Queen
