ID%artist%regex
0001%Rick Astley%ric?k astle?y
0002%Queen%queen
0003%Taylor Swift%taylor swift
0004%Weird Al%weird al
0005%Boston%boston
0006%Blind Melon%blind melon
0007%the Eurythmics%(the )?eurythmics
0008%Fleetwood Mac%fleetwood mac
